name,type,start_time,duration,"data","ack","address","read"
"I2C","start",3.609468458,0.000000042,,,,
"I2C","address",3.912773208,2.527646583,,true,0x76,false
"I2C","data",6.642638417,2.527204917,0xD0,true,,
"I2C","start",9.371907625,0.000000042,,,,
"I2C","address",9.675043625,2.526054875,,true,0x76,true
"I2C","data",12.403164417,1.717235917,0x58,false,,
"I2C","stop",14.423482208,0.000000042,,,,
"I2C","start",15.626740208,0.000000042,,,,
"I2C","address",15.929731542,2.524852958,,true,0x76,false
"I2C","data",18.65658925,2.525334292,0xD0,true,,
"I2C","start",21.384002375,0.000000042,,,,
"I2C","address",21.687102375,2.525873,,true,0x76,true
"I2C","data",24.415113583,1.718152167,0x58,false,,
"I2C","stop",26.436253167,0.000000042,,,,
"I2C","start",27.639279625,0.000000042,,,,
"I2C","address",27.942348333,2.524889542,,true,0x76,false
"I2C","data",30.669172417,2.524896208,0xD0,true,,
"I2C","start",33.396074792,0.000000042,,,,
"I2C","address",33.699022875,2.525202875,,true,0x76,true
